timestamp,campaign,qr_code,city,region,country,latitude,longitude,device,browser,scanner_id
2026-07-01T08:00:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-00
2026-07-02T10:07:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-02
2026-07-03T13:14:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-04
2026-07-04T16:21:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-06
2026-07-05T18:28:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-08
2026-07-06T19:35:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-10
2026-07-07T20:42:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-12
2026-07-08T21:49:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-14
2026-07-09T08:56:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-16
2026-07-10T10:03:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-18
2026-07-11T13:10:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-20
2026-07-12T16:17:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-22
2026-07-13T18:24:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-24
2026-07-14T19:31:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-26
2026-07-15T20:38:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-28
2026-07-16T21:45:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-30
2026-07-17T08:52:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-32
2026-07-18T10:59:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-34
2026-07-19T13:06:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-36
2026-07-20T16:13:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-38
2026-07-21T18:20:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-40
2026-07-22T19:27:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-42
2026-07-23T20:34:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-44
2026-07-24T21:41:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-46
2026-07-25T08:48:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-48
2026-07-26T10:55:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-50
2026-07-27T13:02:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-52
2026-07-28T16:09:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-54
2026-07-29T18:16:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-56
2026-07-30T19:23:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-58
2026-07-01T20:30:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-60
2026-07-02T21:37:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-62
2026-07-03T08:44:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-64
2026-07-04T10:51:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-66
2026-07-05T13:58:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-68
2026-07-06T16:05:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-70
2026-07-07T18:12:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-72
2026-07-08T19:19:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-74
2026-07-09T20:26:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-76
2026-07-10T21:33:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-78
2026-07-11T08:40:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-80
2026-07-12T10:47:00+05:30,July Notebook QR Pilot,SCHOOL-PACK-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Samsung Internet,anon-82
2026-07-13T13:54:00+05:30,July Notebook QR Pilot,RETAIL-PARTNER-01,Delhi,Delhi,India,28.6139,77.209,Tablet,Chrome,anon-84
2026-07-14T16:01:00+05:30,July Notebook QR Pilot,NCR-STATE-02,Delhi,Delhi,India,28.6139,77.209,Mobile,Edge,anon-86
2026-07-15T18:08:00+05:30,July Notebook QR Pilot,COVER-INSIDE-01,Delhi,Delhi,India,28.6139,77.209,Desktop,Safari,anon-88
2026-07-16T19:15:00+05:30,July Notebook QR Pilot,NCR-STATE-01,Delhi,Delhi,India,28.6139,77.209,Mobile,Chrome,anon-90
